"cycle","year","meanG","gain","varG","varGpct","varGenic","varGenicPct","bridgePoolY","donorPoolY","nElig","nGeno","nPheno","nCross","nBridgeIn","strategy","scenario","axis","level","rep","seed","donorImprove","group","donorMeanObs","donorGapObs","burnInUsed","eliteVarObs","h2","cycleYears","nBridge","bridgeBar","bridgeLag","varGxERatio"
1,3,6.23436765004719,0.23436765004719,0.3504154899254,113.040729805607,0.47431872682969,100.425732296855,6.77790933349911,3.32862661006337,21,1760,360,50,2,"CB","CB_strictBar_noRecurrent","mechanism","strict bar + non-recurrent bridge pool",1,8201,0,"collapse",3.38767485568124,2.61232514431876,5,0.309990470273857,0.3,3,2,"parentMean",0,0
2,6,7.00905015794601,1.00905015794601,0.251991559133511,81.2900986636438,0.397183489977465,84.0941767233436,7.58608458712511,3.2434443192029,8,3460,660,100,4,"CB","CB_strictBar_noRecurrent","mechanism","strict bar + non-recurrent bridge pool",1,8201,0,"collapse",3.38767485568124,2.61232514431876,5,0.309990470273857,0.3,3,2,"parentMean",0,0
3,9,7.62529797621648,1.62529797621648,0.235281274827131,75.8995186591625,0.347482139653859,73.5710954700436,8.06744382203491,3.28368674331439,0,5160,960,150,6,"CB","CB_strictBar_noRecurrent","mechanism","strict bar + non-recurrent bridge pool",1,8201,0,"collapse",3.38767485568124,2.61232514431876,5,0.309990470273857,0.3,3,2,"parentMean",0,0
4,12,8.16938233045295,2.16938233045295,0.320763295978879,103.475211897806,0.353658098511138,74.8787081696793,8.72542740321775,3.45656464477788,0,6860,1260,200,8,"CB","CB_strictBar_noRecurrent","mechanism","strict bar + non-recurrent bridge pool",1,8201,0,"collapse",3.38767485568124,2.61232514431876,5,0.309990470273857,0.3,3,2,"parentMean",0,0
5,15,8.95896496917308,2.95896496917308,0.280304506233577,90.4235881786772,0.32131476799465,68.0307756122879,9.38601661747372,3.65003417027938,0,8560,1560,250,10,"CB","CB_strictBar_noRecurrent","mechanism","strict bar + non-recurrent bridge pool",1,8201,0,"collapse",3.38767485568124,2.61232514431876,5,0.309990470273857,0.3,3,2,"parentMean",0,0
6,18,9.79401329997992,3.79401329997992,0.246508528226609,79.5213246422815,0.271522467742857,57.4884378704204,9.92649264998399,3.88399842051537,0,10260,1860,300,12,"CB","CB_strictBar_noRecurrent","mechanism","strict bar + non-recurrent bridge pool",1,8201,0,"collapse",3.38767485568124,2.61232514431876,5,0.309990470273857,0.3,3,2,"parentMean",0,0
7,21,10.2260318703124,4.22603187031238,0.36257566811237,116.963488520166,0.243487977179594,51.5527999014058,10.1959397182325,3.98849609377472,0,11960,2160,350,14,"CB","CB_strictBar_noRecurrent","mechanism","strict bar + non-recurrent bridge pool",1,8201,0,"collapse",3.38767485568124,2.61232514431876,5,0.309990470273857,0.3,3,2,"parentMean",0,0
8,24,10.6253421385617,4.6253421385617,0.454335421136802,146.564318811293,0.220792445074295,46.7475596639486,10.5960964154474,3.86646653092262,0,13660,2460,400,16,"CB","CB_strictBar_noRecurrent","mechanism","strict bar + non-recurrent bridge pool",1,8201,0,"collapse",3.38767485568124,2.61232514431876,5,0.309990470273857,0.3,3,2,"parentMean",0,0
9,27,11.0738366840383,5.07383668403832,0.482341313175036,155.598755261385,0.188414048609886,39.8922027243866,10.9785559024827,3.83322849914888,0,15360,2760,450,18,"CB","CB_strictBar_noRecurrent","mechanism","strict bar + non-recurrent bridge pool",1,8201,0,"collapse",3.38767485568124,2.61232514431876,5,0.309990470273857,0.3,3,2,"parentMean",0,0
10,30,11.1777811616145,5.17778116161452,0.668519104119829,215.657953462,0.170176270542357,36.0307860981847,11.0310201016082,3.90093058891957,0,17060,3060,500,20,"CB","CB_strictBar_noRecurrent","mechanism","strict bar + non-recurrent bridge pool",1,8201,0,"collapse",3.38767485568124,2.61232514431876,5,0.309990470273857,0.3,3,2,"parentMean",0,0
