"cycle","year","meanG","gain","varG","varGpct","varGenic","varGenicPct","bridgePoolY","donorPoolY","nElig","nGeno","nPheno","nCross","nBridgeIn","strategy","scenario","axis","level","rep","seed","donorImprove","group","donorMeanObs","donorGapObs","burnInUsed","eliteVarObs","h2","cycleYears","nBridge","bridgeBar","bridgeLag","varGxERatio"
1,3,6.50998057601991,0.509980576019915,0.405265419324506,87.9737643950735,0.402719841551022,95.1275882877641,NA,NA,0,1260,260,30,0,"GSRS","GSRS_base","baseline","baseline",1,8001,0,"core",NA,NA,9,0.460666224881017,0.3,3,2,"poolMean",0,0
2,6,7.14859912734064,1.14859912734064,0.242608811314648,52.6647707626731,0.357882367832722,84.5364023076776,NA,NA,0,2460,460,60,0,"GSRS","GSRS_base","baseline","baseline",1,8001,0,"core",NA,NA,9,0.460666224881017,0.3,3,2,"poolMean",0,0
3,9,7.66825055880475,1.66825055880475,0.28195447648327,61.2058061248346,0.31745896274529,74.9878759139028,NA,NA,0,3660,660,90,0,"GSRS","GSRS_base","baseline","baseline",1,8001,0,"core",NA,NA,9,0.460666224881017,0.3,3,2,"poolMean",0,0
4,12,8.28462207288182,2.28462207288182,0.199722314713556,43.3551026592281,0.262840007580727,62.0861786456688,NA,NA,0,4860,860,120,0,"GSRS","GSRS_base","baseline","baseline",1,8001,0,"core",NA,NA,9,0.460666224881017,0.3,3,2,"poolMean",0,0
5,15,9.02250649672616,3.02250649672616,0.154496449993548,33.5376117564191,0.217675798687946,51.4178136295619,NA,NA,0,6060,1060,150,0,"GSRS","GSRS_base","baseline","baseline",1,8001,0,"core",NA,NA,9,0.460666224881017,0.3,3,2,"poolMean",0,0
6,18,9.43884467758639,3.43884467758639,0.165329925349675,35.8893090962718,0.188903920774651,44.6215272934813,NA,NA,0,7260,1260,180,0,"GSRS","GSRS_base","baseline","baseline",1,8001,0,"core",NA,NA,9,0.460666224881017,0.3,3,2,"poolMean",0,0
7,21,9.85117946709018,3.85117946709018,0.157933536356575,34.2837238387439,0.174726653161359,41.2726749713099,NA,NA,0,8460,1460,210,0,"GSRS","GSRS_base","baseline","baseline",1,8001,0,"core",NA,NA,9,0.460666224881017,0.3,3,2,"poolMean",0,0
8,24,10.2639083425426,4.26390834254259,0.121309813036025,26.3335591983886,0.126948662567123,29.9869012161339,NA,NA,0,9660,1660,240,0,"GSRS","GSRS_base","baseline","baseline",1,8001,0,"core",NA,NA,9,0.460666224881017,0.3,3,2,"poolMean",0,0
9,27,10.5925989920747,4.59259899207471,0.0956392566237357,20.7610741700106,0.11170928665551,26.3871653007166,NA,NA,0,10860,1860,270,0,"GSRS","GSRS_base","baseline","baseline",1,8001,0,"core",NA,NA,9,0.460666224881017,0.3,3,2,"poolMean",0,0
10,30,11.0661097025136,5.06610970251361,0.0742433289344992,16.1165123303049,0.0861841882238344,20.357809892596,NA,NA,0,12060,2060,300,0,"GSRS","GSRS_base","baseline","baseline",1,8001,0,"core",NA,NA,9,0.460666224881017,0.3,3,2,"poolMean",0,0
11,33,11.3620584925383,5.36205849253826,0.0755787576261742,16.406403062368,0.0778281237178615,18.3840003555025,NA,NA,0,13260,2260,330,0,"GSRS","GSRS_base","baseline","baseline",1,8001,0,"core",NA,NA,9,0.460666224881017,0.3,3,2,"poolMean",0,0
12,36,11.6753916479326,5.67539164793256,0.041347290770841,8.97554206009358,0.0659397153500311,15.5758059237203,NA,NA,0,14460,2460,360,0,"GSRS","GSRS_base","baseline","baseline",1,8001,0,"core",NA,NA,9,0.460666224881017,0.3,3,2,"poolMean",0,0
13,39,11.8606104522031,5.86061045220313,0.0309521826933187,6.71900413391781,0.055715699132532,13.1607622505805,NA,NA,0,15660,2660,390,0,"GSRS","GSRS_base","baseline","baseline",1,8001,0,"core",NA,NA,9,0.460666224881017,0.3,3,2,"poolMean",0,0
14,42,11.952212435994,5.952212435994,0.039873953233022,8.65571450203904,0.0352822310796228,8.33411519802382,NA,NA,0,16860,2860,420,0,"GSRS","GSRS_base","baseline","baseline",1,8001,0,"core",NA,NA,9,0.460666224881017,0.3,3,2,"poolMean",0,0
15,45,12.0126131863593,6.0126131863593,0.0337204682411847,7.31993500280907,0.0319244400290163,7.54096191461906,NA,NA,0,18060,3060,450,0,"GSRS","GSRS_base","baseline","baseline",1,8001,0,"core",NA,NA,9,0.460666224881017,0.3,3,2,"poolMean",0,0
16,48,12.2279048580063,6.2279048580063,0.0236674981788549,5.13766733929057,0.0301393387872953,7.11929812144611,NA,NA,0,19260,3260,480,0,"GSRS","GSRS_base","baseline","baseline",1,8001,0,"core",NA,NA,9,0.460666224881017,0.3,3,2,"poolMean",0,0
