"cycle","year","meanG","gain","varG","varGpct","varGenic","varGenicPct","bridgePoolY","donorPoolY","nElig","nGeno","nPheno","nCross","nBridgeIn","strategy","scenario","axis","level","rep","seed","donorImprove","group","donorMeanObs","donorGapObs","burnInUsed","eliteVarObs","h2","cycleYears","nBridge","bridgeBar","bridgeLag","varGxERatio"
1,3,6.14474058641166,0.144740586411658,0.211560440478067,107.32026986379,0.343648399125407,97.2207478325041,NA,NA,0,1260,260,30,0,"GSRS","GSRS_base","baseline","baseline",1,8011,0,"core",NA,NA,11,0.197129993007451,0.3,3,2,"poolMean",0,0
2,6,6.41182838143337,0.411828381433374,0.246451121459049,125.019596307566,0.268214933506862,75.880046238384,NA,NA,0,2460,460,60,0,"GSRS","GSRS_base","baseline","baseline",1,8011,0,"core",NA,NA,11,0.197129993007451,0.3,3,2,"poolMean",0,0
3,9,7.0590639679047,1.0590639679047,0.259023408628805,131.397259583433,0.224821751213747,63.6037846753866,NA,NA,0,3660,660,90,0,"GSRS","GSRS_base","baseline","baseline",1,8011,0,"core",NA,NA,11,0.197129993007451,0.3,3,2,"poolMean",0,0
4,12,7.96387526074636,1.96387526074636,0.131495634565891,66.7050368945736,0.16774111728787,47.4552388618441,NA,NA,0,4860,860,120,0,"GSRS","GSRS_base","baseline","baseline",1,8011,0,"core",NA,NA,11,0.197129993007451,0.3,3,2,"poolMean",0,0
5,15,8.45732209387274,2.45732209387274,0.15557329180264,78.9191382950839,0.142615833956897,40.3471049634833,NA,NA,0,6060,1060,150,0,"GSRS","GSRS_base","baseline","baseline",1,8011,0,"core",NA,NA,11,0.197129993007451,0.3,3,2,"poolMean",0,0
6,18,9.05918349439476,3.05918349439476,0.0783604862354369,39.7506665728309,0.101893744268034,28.8265158295619,NA,NA,0,7260,1260,180,0,"GSRS","GSRS_base","baseline","baseline",1,8011,0,"core",NA,NA,11,0.197129993007451,0.3,3,2,"poolMean",0,0
7,21,9.36748611363466,3.36748611363466,0.0451876347627629,22.9227597857495,0.0793964340620285,22.4618555313788,NA,NA,0,8460,1460,210,0,"GSRS","GSRS_base","baseline","baseline",1,8011,0,"core",NA,NA,11,0.197129993007451,0.3,3,2,"poolMean",0,0
8,24,9.54189863860498,3.54189863860498,0.0356632519182882,18.091235825763,0.0685681344567859,19.3984471521886,NA,NA,0,9660,1660,240,0,"GSRS","GSRS_base","baseline","baseline",1,8011,0,"core",NA,NA,11,0.197129993007451,0.3,3,2,"poolMean",0,0
9,27,9.66664738900676,3.66664738900676,0.0388134748652294,19.6892792786546,0.0650483993313587,18.4026872943302,NA,NA,0,10860,1860,270,0,"GSRS","GSRS_base","baseline","baseline",1,8011,0,"core",NA,NA,11,0.197129993007451,0.3,3,2,"poolMean",0,0
10,30,9.88202790570512,3.88202790570512,0.0386430514293548,19.6028269670228,0.0486147586334595,13.753485254319,NA,NA,0,12060,2060,300,0,"GSRS","GSRS_base","baseline","baseline",1,8011,0,"core",NA,NA,11,0.197129993007451,0.3,3,2,"poolMean",0,0
