"cycle","year","meanG","gain","varG","varGpct","varGenic","varGenicPct","bridgePoolY","donorPoolY","nElig","nGeno","nPheno","nCross","nBridgeIn","strategy","scenario","axis","level","rep","seed","donorImprove","group","donorMeanObs","donorGapObs","burnInUsed","eliteVarObs","h2","cycleYears","nBridge","bridgeBar","bridgeLag","varGxERatio"
1,3,6.12368275145102,0.123682751451021,0.178093790006545,109.530806522221,0.186620776060099,95.6765686552711,5.16362332969484,3.6398241044698,0,1460,360,40,0,"CB","CB_bar_q75","bridge_bar","elite top quartile",1,8101,0,"peripheral",3.54285652046133,2.45714347953867,17,0.162596985872111,0.3,3,2,"q75",0,0
2,6,6.51465796733179,0.514657967331788,0.131237284835824,80.7132334784158,0.147408940754497,75.5734808216455,5.68405593307503,3.64977490997583,0,3160,660,90,0,"CB","CB_bar_q75","bridge_bar","elite top quartile",1,8101,0,"peripheral",3.54285652046133,2.45714347953867,17,0.162596985872111,0.3,3,2,"q75",0,0
3,9,6.76453436500172,0.764534365001724,0.111702811124211,68.699189302359,0.13754587864496,70.5168951670531,6.04578360386955,3.61552205992678,5,4860,960,140,2,"CB","CB_bar_q75","bridge_bar","elite top quartile",1,8101,0,"peripheral",3.54285652046133,2.45714347953867,17,0.162596985872111,0.3,3,2,"q75",0,0
4,12,6.90914150429373,0.909141504293734,0.0980979063424458,60.3319340861605,0.120294105355386,61.6722718276159,6.03719521704955,3.67245432364205,16,6560,1260,190,4,"CB","CB_bar_q75","bridge_bar","elite top quartile",1,8101,0,"peripheral",3.54285652046133,2.45714347953867,17,0.162596985872111,0.3,3,2,"q75",0,0
5,15,7.21129099191263,1.21129099191263,0.0959831823920807,59.0313417418298,0.108216010689833,55.4800853096393,6.43114209153902,3.67568986349279,17,8260,1560,240,6,"CB","CB_bar_q75","bridge_bar","elite top quartile",1,8101,0,"peripheral",3.54285652046133,2.45714347953867,17,0.162596985872111,0.3,3,2,"q75",0,0
6,18,7.53372204107821,1.53372204107821,0.081260746240373,49.9767851196749,0.0740934142717715,37.9861438106638,6.64740432200757,3.76044762067735,13,9960,1860,290,8,"CB","CB_bar_q75","bridge_bar","elite top quartile",1,8101,0,"peripheral",3.54285652046133,2.45714347953867,17,0.162596985872111,0.3,3,2,"q75",0,0
7,21,7.85655807165194,1.85655807165194,0.0370462140073584,22.7840718009968,0.0522532352669256,26.7891408289185,6.93849844463382,3.7575059969259,37,11660,2160,340,10,"CB","CB_bar_q75","bridge_bar","elite top quartile",1,8101,0,"peripheral",3.54285652046133,2.45714347953867,17,0.162596985872111,0.3,3,2,"q75",0,0
8,24,8.04835240970018,2.04835240970018,0.0367909609044939,22.6270866628681,0.051596074765747,26.4522283846776,7.01999326456416,3.74628291855472,68,13360,2460,390,12,"CB","CB_bar_q75","bridge_bar","elite top quartile",1,8101,0,"peripheral",3.54285652046133,2.45714347953867,17,0.162596985872111,0.3,3,2,"q75",0,0
9,27,8.30176692050336,2.30176692050336,0.0255116424974527,15.6901078827615,0.0421030275365505,21.5853416202615,6.99292867270705,3.77434614599055,61,15060,2760,440,14,"CB","CB_bar_q75","bridge_bar","elite top quartile",1,8101,0,"peripheral",3.54285652046133,2.45714347953867,17,0.162596985872111,0.3,3,2,"q75",0,0
10,30,8.39608370105203,2.39608370105203,0.0271191356314482,16.678744372776,0.035563006972749,18.2324098637355,7.2149572193766,3.8321091740017,27,16760,3060,490,16,"CB","CB_bar_q75","bridge_bar","elite top quartile",1,8101,0,"peripheral",3.54285652046133,2.45714347953867,17,0.162596985872111,0.3,3,2,"q75",0,0
11,33,8.5268670247817,2.5268670247817,0.0251935007289691,15.4944451115378,0.034266184658474,17.5675561866429,7.20007419908715,3.82212816652107,0,18460,3360,540,18,"CB","CB_bar_q75","bridge_bar","elite top quartile",1,8101,0,"peripheral",3.54285652046133,2.45714347953867,17,0.162596985872111,0.3,3,2,"q75",0,0
