"cycle","year","meanG","gain","varG","varGpct","varGenic","varGenicPct","bridgePoolY","donorPoolY","nElig","nGeno","nPheno","nCross","nBridgeIn","strategy","scenario","axis","level","rep","seed","donorImprove","group","donorMeanObs","donorGapObs","burnInUsed","eliteVarObs","h2","cycleYears","nBridge","bridgeBar","bridgeLag","varGxERatio"
1,3,6.13062019193488,0.130620191934884,0.113071248278461,120.451941924802,0.105249170744088,95.4210549006967,NA,NA,0,1260,260,30,0,"GSRS","GSRS_base","baseline","baseline",1,8101,0,"core",NA,NA,25,0.0938724992487465,0.3,3,2,"poolMean",0,0
2,6,6.16314968584597,0.163149685845968,0.0896005644308528,95.4492158490702,0.0839972137577363,76.1535952142668,NA,NA,0,2460,460,60,0,"GSRS","GSRS_base","baseline","baseline",1,8101,0,"core",NA,NA,25,0.0938724992487465,0.3,3,2,"poolMean",0,0
3,9,6.31157460995408,0.311574609954075,0.0737292877700945,78.5419461079056,0.0648515918459783,58.7957820682429,NA,NA,0,3660,660,90,0,"GSRS","GSRS_base","baseline","baseline",1,8101,0,"core",NA,NA,25,0.0938724992487465,0.3,3,2,"poolMean",0,0
4,12,6.6078669621286,0.607866962128604,0.058857628854067,62.6995438761081,0.0517579301317573,46.924800050515,NA,NA,0,4860,860,120,0,"GSRS","GSRS_base","baseline","baseline",1,8101,0,"core",NA,NA,25,0.0938724992487465,0.3,3,2,"poolMean",0,0
5,15,6.79998796552716,0.799987965527157,0.0344595830473661,36.7089225525507,0.0453351833787531,41.1018062330924,NA,NA,0,6060,1060,150,0,"GSRS","GSRS_base","baseline","baseline",1,8101,0,"core",NA,NA,25,0.0938724992487465,0.3,3,2,"poolMean",0,0
6,18,6.94179934464503,0.94179934464503,0.0285383766474334,30.4012110850606,0.039309166106706,35.6384954926526,NA,NA,0,7260,1260,180,0,"GSRS","GSRS_base","baseline","baseline",1,8101,0,"core",NA,NA,25,0.0938724992487465,0.3,3,2,"poolMean",0,0
7,21,7.09952995551267,1.09952995551267,0.0352719446199689,37.5743107962899,0.0377202806023666,34.1979793359112,NA,NA,0,8460,1460,210,0,"GSRS","GSRS_base","baseline","baseline",1,8101,0,"core",NA,NA,25,0.0938724992487465,0.3,3,2,"poolMean",0,0
8,24,7.22336803869511,1.22336803869511,0.0385640808733031,41.0813403093858,0.0330916071284067,30.0015291163646,NA,NA,0,9660,1660,240,0,"GSRS","GSRS_base","baseline","baseline",1,8101,0,"core",NA,NA,25,0.0938724992487465,0.3,3,2,"poolMean",0,0
9,27,7.42303887444495,1.42303887444495,0.0280599401231006,29.8915447523629,0.0297312172677573,26.9549308095672,NA,NA,0,10860,1860,270,0,"GSRS","GSRS_base","baseline","baseline",1,8101,0,"core",NA,NA,25,0.0938724992487465,0.3,3,2,"poolMean",0,0
10,30,7.40599355035331,1.40599355035331,0.020646334584084,21.9940182154676,0.0265689366948525,24.0879424425781,NA,NA,0,12060,2060,300,0,"GSRS","GSRS_base","baseline","baseline",1,8101,0,"core",NA,NA,25,0.0938724992487465,0.3,3,2,"poolMean",0,0
