"cycle","year","meanG","gain","varG","varGpct","varGenic","varGenicPct","bridgePoolY","donorPoolY","nElig","nGeno","nPheno","nCross","nBridgeIn","strategy","scenario","axis","level","rep","seed","donorImprove","group","donorMeanObs","donorGapObs","burnInUsed","eliteVarObs","h2","cycleYears","nBridge","bridgeBar","bridgeLag","varGxERatio"
1,3,6.11569477945264,0.115694779452641,0.333335669362323,100.950566218965,0.473811149870104,97.9829352824679,NA,NA,0,1260,260,30,0,"GSRS","GSRS_base","baseline","baseline",1,8111,0,"core",NA,NA,5,0.330196928900138,0.3,3,2,"poolMean",0,0
2,6,6.94957060162347,0.949570601623474,0.311347356983482,94.2914151323445,0.418130971341736,86.4684166166302,NA,NA,0,2460,460,60,0,"GSRS","GSRS_base","baseline","baseline",1,8111,0,"core",NA,NA,5,0.330196928900138,0.3,3,2,"poolMean",0,0
3,9,7.73860033968129,1.73860033968129,0.262079716250311,79.3707310129381,0.355652130966031,73.547952050242,NA,NA,0,3660,660,90,0,"GSRS","GSRS_base","baseline","baseline",1,8111,0,"core",NA,NA,5,0.330196928900138,0.3,3,2,"poolMean",0,0
4,12,8.30777513887975,2.30777513887975,0.182025441404644,55.1263277980681,0.300353847248982,62.1124082557056,NA,NA,0,4860,860,120,0,"GSRS","GSRS_base","baseline","baseline",1,8111,0,"core",NA,NA,5,0.330196928900138,0.3,3,2,"poolMean",0,0
5,15,8.83495413894981,2.83495413894981,0.193029093950022,58.458779308756,0.288638394722995,59.6896826044133,NA,NA,0,6060,1060,150,0,"GSRS","GSRS_base","baseline","baseline",1,8111,0,"core",NA,NA,5,0.330196928900138,0.3,3,2,"poolMean",0,0
6,18,9.44611574057232,3.44611574057232,0.204522782251332,61.9396379404807,0.265173091663776,54.8371178818117,NA,NA,0,7260,1260,180,0,"GSRS","GSRS_base","baseline","baseline",1,8111,0,"core",NA,NA,5,0.330196928900138,0.3,3,2,"poolMean",0,0
7,21,10.0821928894389,4.08219288943887,0.158917171438074,48.127998030574,0.23010666068406,47.5854695442524,NA,NA,0,8460,1460,210,0,"GSRS","GSRS_base","baseline","baseline",1,8111,0,"core",NA,NA,5,0.330196928900138,0.3,3,2,"poolMean",0,0
8,24,10.5963899305097,4.59638993050972,0.125982782600611,38.1538323267421,0.191320732851858,39.5646387603102,NA,NA,0,9660,1660,240,0,"GSRS","GSRS_base","baseline","baseline",1,8111,0,"core",NA,NA,5,0.330196928900138,0.3,3,2,"poolMean",0,0
9,27,11.0482285924413,5.04822859244129,0.0851519512084032,25.7882323412389,0.136858225531474,28.3019313893313,NA,NA,0,10860,1860,270,0,"GSRS","GSRS_base","baseline","baseline",1,8111,0,"core",NA,NA,5,0.330196928900138,0.3,3,2,"poolMean",0,0
10,30,11.3136350450394,5.31363504503944,0.101674346516696,30.7920327591675,0.114965027003362,23.7744738672903,NA,NA,0,12060,2060,300,0,"GSRS","GSRS_base","baseline","baseline",1,8111,0,"core",NA,NA,5,0.330196928900138,0.3,3,2,"poolMean",0,0
11,33,11.5982974233759,5.59829742337585,0.0835355756573966,25.2987136905384,0.0889627581065146,18.3972710910037,NA,NA,0,13260,2260,330,0,"GSRS","GSRS_base","baseline","baseline",1,8111,0,"core",NA,NA,5,0.330196928900138,0.3,3,2,"poolMean",0,0
12,36,11.7821712089582,5.78217120895817,0.0814749138840475,24.6746431456629,0.0763032699275501,15.7793212785336,NA,NA,0,14460,2460,360,0,"GSRS","GSRS_base","baseline","baseline",1,8111,0,"core",NA,NA,5,0.330196928900138,0.3,3,2,"poolMean",0,0
13,39,12.0036572604927,6.00365726049272,0.054664147904866,16.5550140296423,0.061180406733095,12.6519518063839,NA,NA,0,15660,2660,390,0,"GSRS","GSRS_base","baseline","baseline",1,8111,0,"core",NA,NA,5,0.330196928900138,0.3,3,2,"poolMean",0,0
14,42,11.9937154216962,5.99371542169622,0.0491169978396536,14.8750619829381,0.0567995105071484,11.7459936593378,NA,NA,0,16860,2860,420,0,"GSRS","GSRS_base","baseline","baseline",1,8111,0,"core",NA,NA,5,0.330196928900138,0.3,3,2,"poolMean",0,0
15,45,12.0623481843683,6.06234818436831,0.0401898807672551,12.1714883603323,0.0483089948063817,9.99017670431026,NA,NA,0,18060,3060,450,0,"GSRS","GSRS_base","baseline","baseline",1,8111,0,"core",NA,NA,5,0.330196928900138,0.3,3,2,"poolMean",0,0
16,48,12.0941465346774,6.09414653467738,0.0374877818369201,11.3531588442658,0.0358115814008473,7.40574354091081,NA,NA,0,19260,3260,480,0,"GSRS","GSRS_base","baseline","baseline",1,8111,0,"core",NA,NA,5,0.330196928900138,0.3,3,2,"poolMean",0,0
17,51,12.1649604110342,6.16496041103417,0.0548516229993903,16.6117907825785,0.0418071425619191,8.64561027133375,NA,NA,0,20460,3460,510,0,"GSRS","GSRS_base","baseline","baseline",1,8111,0,"core",NA,NA,5,0.330196928900138,0.3,3,2,"poolMean",0,0
18,54,12.4273794386256,6.42737943862557,0.0299206268078454,9.0614491502113,0.0256279438382605,5.29979331051077,NA,NA,0,21660,3660,540,0,"GSRS","GSRS_base","baseline","baseline",1,8111,0,"core",NA,NA,5,0.330196928900138,0.3,3,2,"poolMean",0,0
19,57,12.3638673488836,6.36386734888363,0.0264616072266675,8.01388653577402,0.0237980268774164,4.92137115814937,NA,NA,0,22860,3860,570,0,"GSRS","GSRS_base","baseline","baseline",1,8111,0,"core",NA,NA,5,0.330196928900138,0.3,3,2,"poolMean",0,0
20,60,12.4091165337144,6.40911653371441,0.0270854288074834,8.20281063718642,0.0204637917150103,4.23185984499405,NA,NA,0,24060,4060,600,0,"GSRS","GSRS_base","baseline","baseline",1,8111,0,"core",NA,NA,5,0.330196928900138,0.3,3,2,"poolMean",0,0
