"cycle","year","meanG","gain","varG","varGpct","varGenic","varGenicPct","bridgePoolY","donorPoolY","nElig","nGeno","nPheno","nCross","nBridgeIn","strategy","scenario","axis","level","rep","seed","donorImprove","group","donorMeanObs","donorGapObs","burnInUsed","eliteVarObs","h2","cycleYears","nBridge","bridgeBar","bridgeLag","varGxERatio"
1,3,6.4768690211816,0.476869021181605,0.471167297163316,108.292835301178,0.516261745819053,96.7066206338654,NA,NA,0,1260,260,30,0,"GSRS","GSRS_base","baseline","baseline",1,8201,0,"core",NA,NA,7,0.435086306358988,0.3,3,2,"poolMean",0,0
2,6,7.42517926095652,1.42517926095652,0.415732883550483,95.5518198284696,0.471853628778679,88.3880516861034,NA,NA,0,2460,460,60,0,"GSRS","GSRS_base","baseline","baseline",1,8201,0,"core",NA,NA,7,0.435086306358988,0.3,3,2,"poolMean",0,0
3,9,8.25836318263248,2.25836318263248,0.314565581979206,72.2995822625728,0.402071842432625,75.3164638840381,NA,NA,0,3660,660,90,0,"GSRS","GSRS_base","baseline","baseline",1,8201,0,"core",NA,NA,7,0.435086306358988,0.3,3,2,"poolMean",0,0
4,12,9.33005542724401,3.33005542724401,0.264456045198195,60.7824335845665,0.35879313411733,67.2094568077518,NA,NA,0,4860,860,120,0,"GSRS","GSRS_base","baseline","baseline",1,8201,0,"core",NA,NA,7,0.435086306358988,0.3,3,2,"poolMean",0,0
5,15,10.0965930963426,4.09659309634258,0.223313402300362,51.3262309193678,0.313020199611636,58.6352290087927,NA,NA,0,6060,1060,150,0,"GSRS","GSRS_base","baseline","baseline",1,8201,0,"core",NA,NA,7,0.435086306358988,0.3,3,2,"poolMean",0,0
6,18,10.4828878831867,4.4828878831867,0.207651752409902,47.7265658272796,0.303914936842488,56.9296228903484,NA,NA,0,7260,1260,180,0,"GSRS","GSRS_base","baseline","baseline",1,8201,0,"core",NA,NA,7,0.435086306358988,0.3,3,2,"poolMean",0,0
7,21,10.9906994849159,4.99069948491588,0.185615166092374,42.6616888142704,0.285934130458169,53.5614418546985,NA,NA,0,8460,1460,210,0,"GSRS","GSRS_base","baseline","baseline",1,8201,0,"core",NA,NA,7,0.435086306358988,0.3,3,2,"poolMean",0,0
8,24,11.4524012581545,5.45240125815451,0.13979614238812,32.1306693281161,0.233758237415764,43.787806028399,NA,NA,0,9660,1660,240,0,"GSRS","GSRS_base","baseline","baseline",1,8201,0,"core",NA,NA,7,0.435086306358988,0.3,3,2,"poolMean",0,0
9,27,11.7439147437746,5.74391474377457,0.118526900730796,27.2421583944313,0.186227494364249,34.8843039309578,NA,NA,0,10860,1860,270,0,"GSRS","GSRS_base","baseline","baseline",1,8201,0,"core",NA,NA,7,0.435086306358988,0.3,3,2,"poolMean",0,0
10,30,12.1185379122332,6.11853791223322,0.117638565537183,27.0379839167174,0.156745403419204,29.3616917916597,NA,NA,0,12060,2060,300,0,"GSRS","GSRS_base","baseline","baseline",1,8201,0,"core",NA,NA,7,0.435086306358988,0.3,3,2,"poolMean",0,0
11,33,12.4405360190107,6.44053601901067,0.0977685284050938,22.4710653900529,0.138547022609051,25.9527545163129,NA,NA,0,13260,2260,330,0,"GSRS","GSRS_base","baseline","baseline",1,8201,0,"core",NA,NA,7,0.435086306358988,0.3,3,2,"poolMean",0,0
