"cycle","year","meanG","gain","varG","varGpct","varGenic","varGenicPct","bridgePoolY","donorPoolY","nElig","nGeno","nPheno","nCross","nBridgeIn","strategy","scenario","axis","level","rep","seed","donorImprove","group","donorMeanObs","donorGapObs","burnInUsed","eliteVarObs","h2","cycleYears","nBridge","bridgeBar","bridgeLag","varGxERatio"
1,3,6.60521509050647,0.605215090506473,0.510438554649462,117.318919761244,0.512595375062727,96.019832723069,5.37602759442348,3.38193147291385,0,810,260,25,0,"CB","CB_equalBudget","resource_matched","equal genotyping + phenotyping budget",1,8201,0,"peripheral",3.23650915623962,2.76349084376038,7,0.435086306358988,0.3,3,2,"poolMean",0,0
2,6,7.14401176173229,1.14401176173229,0.524907112119417,120.644365140354,0.436601450934949,81.7845816113596,6.27261952795389,3.41544115563255,9,1710,460,60,2,"CB","CB_equalBudget","resource_matched","equal genotyping + phenotyping budget",1,8201,0,"peripheral",3.23650915623962,2.76349084376038,7,0.435086306358988,0.3,3,2,"poolMean",0,0
3,9,7.75214353083471,1.75214353083471,0.312038530068169,71.7187660258623,0.385732724324368,72.2558053921323,7.14600651078928,3.5094204545908,28,2610,660,95,4,"CB","CB_equalBudget","resource_matched","equal genotyping + phenotyping budget",1,8201,0,"peripheral",3.23650915623962,2.76349084376038,7,0.435086306358988,0.3,3,2,"poolMean",0,0
4,12,8.50912920903595,2.50912920903595,0.269142341821672,61.8595294515208,0.346495422501987,64.905838262545,7.36713408522349,3.52601445063946,57,3510,860,130,6,"CB","CB_equalBudget","resource_matched","equal genotyping + phenotyping budget",1,8201,0,"peripheral",3.23650915623962,2.76349084376038,7,0.435086306358988,0.3,3,2,"poolMean",0,0
5,15,9.07329526460998,3.07329526460998,0.290039228744511,66.6624585755638,0.301164140436653,56.4143412011387,8.02295346766505,3.46295875087787,43,4410,1060,165,8,"CB","CB_equalBudget","resource_matched","equal genotyping + phenotyping budget",1,8201,0,"peripheral",3.23650915623962,2.76349084376038,7,0.435086306358988,0.3,3,2,"poolMean",0,0
6,18,9.68024451625715,3.68024451625715,0.192795600992716,44.3120360661595,0.214631791298423,40.2050227140759,8.27045927177392,3.43735444123432,47,5310,1260,200,10,"CB","CB_equalBudget","resource_matched","equal genotyping + phenotyping budget",1,8201,0,"peripheral",3.23650915623962,2.76349084376038,7,0.435086306358988,0.3,3,2,"poolMean",0,0
7,21,10.0951265870577,4.09512658705773,0.166425220836071,38.2510822344187,0.194033580184766,36.3465470396012,8.45848977475593,3.44575491867203,77,6210,1460,235,12,"CB","CB_equalBudget","resource_matched","equal genotyping + phenotyping budget",1,8201,0,"peripheral",3.23650915623962,2.76349084376038,7,0.435086306358988,0.3,3,2,"poolMean",0,0
8,24,10.423475676498,4.42347567649802,0.130386742537834,29.9680179845173,0.158069466595446,29.6097165122922,8.58179078211645,3.44828761863133,13,7110,1660,270,14,"CB","CB_equalBudget","resource_matched","equal genotyping + phenotyping budget",1,8201,0,"peripheral",3.23650915623962,2.76349084376038,7,0.435086306358988,0.3,3,2,"poolMean",0,0
9,27,10.8477800308184,4.84778003081844,0.062386300812931,14.3388334454857,0.104701241601854,19.6127319784682,8.87844875428144,3.35758969896917,23,8010,1860,305,16,"CB","CB_equalBudget","resource_matched","equal genotyping + phenotyping budget",1,8201,0,"peripheral",3.23650915623962,2.76349084376038,7,0.435086306358988,0.3,3,2,"poolMean",0,0
10,30,11.1237133841347,5.12371338413466,0.0483822242112644,11.1201440965013,0.0857136347200029,16.0559561562446,8.94109218660343,3.43530291695366,17,8910,2060,340,18,"CB","CB_equalBudget","resource_matched","equal genotyping + phenotyping budget",1,8201,0,"peripheral",3.23650915623962,2.76349084376038,7,0.435086306358988,0.3,3,2,"poolMean",0,0
11,33,11.3199858958817,5.31998589588165,0.0275516082470655,6.33244665354575,0.0702306193167744,13.155663603108,8.92777033621436,3.51700539791756,29,9810,2260,375,20,"CB","CB_equalBudget","resource_matched","equal genotyping + phenotyping budget",1,8201,0,"peripheral",3.23650915623962,2.76349084376038,7,0.435086306358988,0.3,3,2,"poolMean",0,0
12,36,11.311883846298,5.31188384629803,0.0404409288469039,9.29492108941168,0.0739210976755428,13.8469673719602,9.18527431601189,3.46551648450335,29,10710,2460,410,22,"CB","CB_equalBudget","resource_matched","equal genotyping + phenotyping budget",1,8201,0,"peripheral",3.23650915623962,2.76349084376038,7,0.435086306358988,0.3,3,2,"poolMean",0,0
