"cycle","year","meanG","gain","varG","varGpct","varGenic","varGenicPct","bridgePoolY","donorPoolY","nElig","nGeno","nPheno","nCross","nBridgeIn","strategy","scenario","axis","level","rep","seed","donorImprove","group","donorMeanObs","donorGapObs","burnInUsed","eliteVarObs","h2","cycleYears","nBridge","bridgeBar","bridgeLag","varGxERatio"
1,3,6.3142452234741,0.314245223474098,0.332352730940079,102.21262552301,0.352790009398872,95.0774640200355,5.26584120853679,3.35984744774456,0,810,260,25,0,"CB","CB_equalBudget","resource_matched","equal genotyping + phenotyping budget",1,8204,0,"peripheral",3.23160248731515,2.76839751268485,9,0.325158197668309,0.3,3,2,"poolMean",0,0
2,6,6.76428728946568,0.764287289465678,0.281121261250504,86.4567657424627,0.304626338807507,82.0972788228238,6.06583691765649,3.40443947155292,9,1710,460,60,2,"CB","CB_equalBudget","resource_matched","equal genotyping + phenotyping budget",1,8204,0,"peripheral",3.23160248731515,2.76839751268485,9,0.325158197668309,0.3,3,2,"poolMean",0,0
3,9,7.14162590106244,1.14162590106244,0.263555684645835,81.0546025091102,0.252449456963252,68.0355268625638,6.51048769610345,3.3964780415922,50,2610,660,95,4,"CB","CB_equalBudget","resource_matched","equal genotyping + phenotyping budget",1,8204,0,"peripheral",3.23160248731515,2.76839751268485,9,0.325158197668309,0.3,3,2,"poolMean",0,0
4,12,7.75069442211505,1.75069442211505,0.143779627556762,44.2183615814694,0.184542640877308,49.7345328119449,6.88608748226456,3.42368423637536,45,3510,860,130,6,"CB","CB_equalBudget","resource_matched","equal genotyping + phenotyping budget",1,8204,0,"peripheral",3.23160248731515,2.76839751268485,9,0.325158197668309,0.3,3,2,"poolMean",0,0
5,15,8.3714348676702,2.3714348676702,0.169133017476247,52.0156092293197,0.184158184354124,49.6309211725095,7.01114452798378,3.41172435511568,16,4410,1060,165,8,"CB","CB_equalBudget","resource_matched","equal genotyping + phenotyping budget",1,8204,0,"peripheral",3.23160248731515,2.76839751268485,9,0.325158197668309,0.3,3,2,"poolMean",0,0
6,18,8.82449622745809,2.82449622745809,0.147646175504563,45.4074898198247,0.181576442141568,48.9351375738143,7.44731113505037,3.34549397136152,42,5310,1260,200,10,"CB","CB_equalBudget","resource_matched","equal genotyping + phenotyping budget",1,8204,0,"peripheral",3.23160248731515,2.76839751268485,9,0.325158197668309,0.3,3,2,"poolMean",0,0
7,21,9.37683351794628,3.37683351794628,0.121696643257046,37.4269030058986,0.140452737298398,37.852234250505,7.7005163307153,3.26140897183907,10,6210,1460,235,12,"CB","CB_equalBudget","resource_matched","equal genotyping + phenotyping budget",1,8204,0,"peripheral",3.23160248731515,2.76839751268485,9,0.325158197668309,0.3,3,2,"poolMean",0,0
8,24,9.63176903632521,3.63176903632521,0.108044319752851,33.2282318353436,0.122487325300515,33.0105273786341,8.06047042435747,3.3125761274718,7,7110,1660,270,14,"CB","CB_equalBudget","resource_matched","equal genotyping + phenotyping budget",1,8204,0,"peripheral",3.23160248731515,2.76839751268485,9,0.325158197668309,0.3,3,2,"poolMean",0,0
9,27,9.94693122060995,3.94693122060995,0.0836436690205659,25.7239920815067,0.107965282435789,29.0968139196815,8.15226884823544,3.30814057178481,10,8010,1860,305,16,"CB","CB_equalBudget","resource_matched","equal genotyping + phenotyping budget",1,8204,0,"peripheral",3.23160248731515,2.76839751268485,9,0.325158197668309,0.3,3,2,"poolMean",0,0
10,30,10.2571745053567,4.25717450535668,0.106167618402068,32.6510662081995,0.092922106635661,25.0426543126088,8.31949223280926,3.40853285035213,14,8910,2060,340,18,"CB","CB_equalBudget","resource_matched","equal genotyping + phenotyping budget",1,8204,0,"peripheral",3.23160248731515,2.76839751268485,9,0.325158197668309,0.3,3,2,"poolMean",0,0
11,33,10.4841127510327,4.48411275103269,0.0495611063981889,15.2421518982417,0.0613163770704571,16.5248603402598,8.44034424377831,3.45415578307538,22,9810,2260,375,20,"CB","CB_equalBudget","resource_matched","equal genotyping + phenotyping budget",1,8204,0,"peripheral",3.23160248731515,2.76839751268485,9,0.325158197668309,0.3,3,2,"poolMean",0,0
12,36,10.7782979071241,4.77829790712412,0.0435900290396522,13.4057911970954,0.0421316910344937,11.3545571918572,8.80475712640708,3.48851683853481,31,10710,2460,410,22,"CB","CB_equalBudget","resource_matched","equal genotyping + phenotyping budget",1,8204,0,"peripheral",3.23160248731515,2.76839751268485,9,0.325158197668309,0.3,3,2,"poolMean",0,0
13,39,10.8445311012319,4.8445311012319,0.0314889979707197,9.68420854726269,0.0379851953791705,10.2370700721114,8.69808441011534,3.48837812728867,39,11610,2660,445,24,"CB","CB_equalBudget","resource_matched","equal genotyping + phenotyping budget",1,8204,0,"peripheral",3.23160248731515,2.76839751268485,9,0.325158197668309,0.3,3,2,"poolMean",0,0
14,42,11.0500805236552,5.05008052365517,0.0365237056839611,11.2325956859985,0.0283648816494379,7.64438034697254,8.81717396955809,3.42129937688045,1,12510,2860,480,25,"CB","CB_equalBudget","resource_matched","equal genotyping + phenotyping budget",1,8204,0,"peripheral",3.23160248731515,2.76839751268485,9,0.325158197668309,0.3,3,2,"poolMean",0,0
15,45,11.239161524815,5.239161524815,0.0184345524774343,5.66941033922176,0.0253698635154537,6.83721823555549,8.88491010299372,3.38286263560507,7,13410,3060,515,27,"CB","CB_equalBudget","resource_matched","equal genotyping + phenotyping budget",1,8204,0,"peripheral",3.23160248731515,2.76839751268485,9,0.325158197668309,0.3,3,2,"poolMean",0,0
16,48,11.2411365254317,5.24113652543168,0.0261422867118785,8.03986702452631,0.0247388093632542,6.66714814611992,9.01990057965585,3.32486406903187,29,14310,3260,550,29,"CB","CB_equalBudget","resource_matched","equal genotyping + phenotyping budget",1,8204,0,"peripheral",3.23160248731515,2.76839751268485,9,0.325158197668309,0.3,3,2,"poolMean",0,0
17,51,11.383931831917,5.38393183191701,0.0142885342560077,4.39433308416332,0.0158764590070931,4.27873074576156,8.95345318339209,3.26195730981981,9,15210,3460,585,31,"CB","CB_equalBudget","resource_matched","equal genotyping + phenotyping budget",1,8204,0,"peripheral",3.23160248731515,2.76839751268485,9,0.325158197668309,0.3,3,2,"poolMean",0,0
