"cycle","year","meanG","gain","varG","varGpct","varGenic","varGenicPct","bridgePoolY","donorPoolY","nElig","nGeno","nPheno","nCross","nBridgeIn","strategy","scenario","axis","level","rep","seed"
1,3,6.28863192007529,0.288631920075286,0.219452604020029,74.8959231394698,0.279667853329077,99.5764290583665,NA,NA,0,0,1260,30,0,"PSRS","PSRS","strategy_comparison","PSRS",1,9001
2,6,6.96638860053656,0.966388600536556,0.148283084934548,50.6068204646495,0.259561779116793,92.4176117377144,NA,NA,0,0,2460,60,0,"PSRS","PSRS","strategy_comparison","PSRS",1,9001
3,9,7.37599708708536,1.37599708708536,0.149162745713333,50.90703565859,0.24059374966258,85.6639980604858,NA,NA,0,0,3660,90,0,"PSRS","PSRS","strategy_comparison","PSRS",1,9001
4,12,7.5897799434429,1.5897799434429,0.158314909199309,54.0305334911469,0.228824706011846,81.473601036938,NA,NA,0,0,4860,120,0,"PSRS","PSRS","strategy_comparison","PSRS",1,9001
5,15,7.98652062152587,1.98652062152587,0.147719766077642,50.4145680828733,0.217995971093546,77.6180032571134,NA,NA,0,0,6060,150,0,"PSRS","PSRS","strategy_comparison","PSRS",1,9001
6,18,8.18421483515228,2.18421483515228,0.120888411001986,41.2574240314372,0.213063511117476,75.8617887153137,NA,NA,0,0,7260,180,0,"PSRS","PSRS","strategy_comparison","PSRS",1,9001
7,21,8.51301249715236,2.51301249715236,0.109766709394875,37.4617520116589,0.202229830281686,72.0044299293661,NA,NA,0,0,8460,210,0,"PSRS","PSRS","strategy_comparison","PSRS",1,9001
8,24,8.81358675896227,2.81358675896227,0.107437464131415,36.6668151048762,0.186179936472611,66.2898256470029,NA,NA,0,0,9660,240,0,"PSRS","PSRS","strategy_comparison","PSRS",1,9001
9,27,8.99932517922608,2.99932517922608,0.100442640026199,34.2795852476694,0.175949873946099,62.6473866490705,NA,NA,0,0,10860,270,0,"PSRS","PSRS","strategy_comparison","PSRS",1,9001
10,30,9.30168068216442,3.30168068216442,0.0934894523111982,31.9065652737098,0.159372189839686,56.7448613293949,NA,NA,0,0,12060,300,0,"PSRS","PSRS","strategy_comparison","PSRS",1,9001
11,33,9.55969645873608,3.55969645873608,0.102978474305906,35.1450279256247,0.148234447454489,52.7792406787262,NA,NA,0,0,13260,330,0,"PSRS","PSRS","strategy_comparison","PSRS",1,9001
12,36,9.75759972176311,3.75759972176311,0.0938724720732236,32.0372842450597,0.13894814271244,49.4728289679998,NA,NA,0,0,14460,360,0,"PSRS","PSRS","strategy_comparison","PSRS",1,9001
13,39,9.9266972797293,3.9266972797293,0.0964985234670367,32.9335166877304,0.132473346636733,47.1674618533124,NA,NA,0,0,15660,390,0,"PSRS","PSRS","strategy_comparison","PSRS",1,9001
14,42,10.0546987777777,4.05469877777774,0.089688896277619,30.609491794681,0.122838042152209,43.7367879233701,NA,NA,0,0,16860,420,0,"PSRS","PSRS","strategy_comparison","PSRS",1,9001
15,45,10.1846939460342,4.18469394603416,0.0800686694878684,27.3262508896714,0.112564012097023,40.078694178395,NA,NA,0,0,18060,450,0,"PSRS","PSRS","strategy_comparison","PSRS",1,9001
16,48,10.4645174661148,4.46451746611477,0.0849886751896809,29.0053759587686,0.10659449595402,37.9532332301643,NA,NA,0,0,19260,480,0,"PSRS","PSRS","strategy_comparison","PSRS",1,9001
17,51,10.6165670327281,4.61656703272805,0.0672389796498305,22.9476677860267,0.0988952532491004,35.2118988726989,NA,NA,0,0,20460,510,0,"PSRS","PSRS","strategy_comparison","PSRS",1,9001
18,54,10.8807725510864,4.88077255108644,0.0574046422755202,19.5913541099915,0.0888725286094634,31.6432830408463,NA,NA,0,0,21660,540,0,"PSRS","PSRS","strategy_comparison","PSRS",1,9001
19,57,10.9891109832067,4.98911098320667,0.050947015368477,17.387461699359,0.0855827901906997,30.4719635617672,NA,NA,0,0,22860,570,0,"PSRS","PSRS","strategy_comparison","PSRS",1,9001
20,60,11.0506983637942,5.05069836379418,0.0479440000070264,16.3625770382623,0.0844672955763066,30.0747889526268,NA,NA,0,0,24060,600,0,"PSRS","PSRS","strategy_comparison","PSRS",1,9001
1,3,6.17372779875673,0.173727798756734,0.237089605015899,80.9151703336244,0.276886616137139,98.5861626954619,NA,NA,0,1320,320,30,0,"MAGIC","MAGIC","strategy_comparison","MAGIC",1,9001
2,6,6.88502062132556,0.885020621325563,0.189946215751465,64.8258298828684,0.240029438218873,85.4630735789186,NA,NA,0,2520,520,60,0,"MAGIC","MAGIC","strategy_comparison","MAGIC",1,9001
3,9,7.41024360296113,1.41024360296113,0.112838774750111,38.5102024128404,0.190359321774081,67.7779060932375,NA,NA,0,3720,720,90,0,"MAGIC","MAGIC","strategy_comparison","MAGIC",1,9001
4,12,7.43884758516864,1.43884758516864,0.12851657847716,43.8608045994958,0.163758839090218,58.3067386159686,NA,NA,0,4920,920,120,0,"MAGIC","MAGIC","strategy_comparison","MAGIC",1,9001
5,15,8.00295552841674,2.00295552841674,0.0990337909829661,33.7987659376036,0.131573496407702,46.8470679595285,NA,NA,0,6120,1120,150,0,"MAGIC","MAGIC","strategy_comparison","MAGIC",1,9001
6,18,8.31245339214784,2.31245339214784,0.0880554286750921,30.0520134974605,0.105332260044856,37.5038110210414,NA,NA,0,7320,1320,180,0,"MAGIC","MAGIC","strategy_comparison","MAGIC",1,9001
7,21,8.87888249043716,2.87888249043716,0.0579190705897026,19.7669208737208,0.0818166418212546,29.1310171445468,NA,NA,0,8520,1520,210,0,"MAGIC","MAGIC","strategy_comparison","MAGIC",1,9001
8,24,9.12404891854925,3.12404891854925,0.036449817156435,12.4397826874131,0.057196034444997,20.364789154478,NA,NA,0,9720,1720,240,0,"MAGIC","MAGIC","strategy_comparison","MAGIC",1,9001
9,27,9.22352038844136,3.22352038844136,0.0317010863180817,10.8191111922283,0.0527411279400708,18.7786087041012,NA,NA,0,10920,1920,270,0,"MAGIC","MAGIC","strategy_comparison","MAGIC",1,9001
10,30,9.40998059167367,3.40998059167367,0.0305696361948631,10.4329640246286,0.0424502327985798,15.1145101035445,NA,NA,0,12120,2120,300,0,"MAGIC","MAGIC","strategy_comparison","MAGIC",1,9001
11,33,9.57621165748884,3.57621165748884,0.0270583230709132,9.23460486628402,0.0335263767979897,11.9371491612976,NA,NA,0,13320,2320,330,0,"MAGIC","MAGIC","strategy_comparison","MAGIC",1,9001
12,36,9.84636476472134,3.84636476472134,0.0366368499053155,12.5036141942083,0.0293796387047248,10.460692834078,NA,NA,0,14520,2520,360,0,"MAGIC","MAGIC","strategy_comparison","MAGIC",1,9001
13,39,10.1256011113513,4.12560111135134,0.0200300145993379,6.83594729082163,0.0177955659898787,6.33615516853683,NA,NA,0,15720,2720,390,0,"MAGIC","MAGIC","strategy_comparison","MAGIC",1,9001
14,42,10.1588910988684,4.15889109886836,0.0184638208381502,6.30142855916548,0.0133217806600576,4.74325286598616,NA,NA,0,16920,2920,420,0,"MAGIC","MAGIC","strategy_comparison","MAGIC",1,9001
15,45,10.2341945101163,4.23419451011627,0.0103506285882811,3.53251621986835,0.0102422748383379,3.64678722168319,NA,NA,0,18120,3120,450,0,"MAGIC","MAGIC","strategy_comparison","MAGIC",1,9001
16,48,10.251780573597,4.25178057359702,0.00496072402506673,1.69302162968916,0.00545292713227255,1.94152815664612,NA,NA,0,19320,3320,480,0,"MAGIC","MAGIC","strategy_comparison","MAGIC",1,9001
17,51,10.2571629436464,4.25716294364641,0.00319955559717666,1.09196093232383,0.00404159818101687,1.43902100210603,NA,NA,0,20520,3520,510,0,"MAGIC","MAGIC","strategy_comparison","MAGIC",1,9001
18,54,10.2432519909384,4.24325199093839,0.00242363970830475,0.827152332602955,0.00432594077975109,1.54026188579748,NA,NA,0,21720,3720,540,0,"MAGIC","MAGIC","strategy_comparison","MAGIC",1,9001
19,57,10.2780678438864,4.27806784388641,0.00261634720822049,0.892920547869938,0.00506402087055797,1.80305712281439,NA,NA,0,22920,3920,570,0,"MAGIC","MAGIC","strategy_comparison","MAGIC",1,9001
20,60,10.2863132386821,4.28631323868215,0.00185571278962997,0.633327287601346,0.00560010997798394,1.99393297193014,NA,NA,0,24120,4120,600,0,"MAGIC","MAGIC","strategy_comparison","MAGIC",1,9001
1,3,6.0798685387414,0.079868538741402,0.144814156459352,93.1905828694139,0.20432064403551,99.1020751699496,NA,NA,0,0,1260,30,0,"PSRS","PSRS","strategy_comparison","PSRS",2,9002
2,6,6.19960578922622,0.199605789226217,0.166960044016281,107.441870312918,0.196585305027912,95.3501872909019,NA,NA,0,0,2460,60,0,"PSRS","PSRS","strategy_comparison","PSRS",2,9002
3,9,6.54025257319976,0.540252573199764,0.14024927772823,90.2529991408449,0.186585988891229,90.5001977849298,NA,NA,0,0,3660,90,0,"PSRS","PSRS","strategy_comparison","PSRS",2,9002
4,12,6.73349768089125,0.733497680891253,0.12841726018787,82.6388774412387,0.173348842288863,84.0797565034542,NA,NA,0,0,4860,120,0,"PSRS","PSRS","strategy_comparison","PSRS",2,9002
5,15,7.04829208340992,1.04829208340992,0.159526062014984,102.657965667959,0.157204964227264,76.249457099557,NA,NA,0,0,6060,150,0,"PSRS","PSRS","strategy_comparison","PSRS",2,9002
6,18,7.34088707150601,1.34088707150601,0.110121889607952,70.865468750818,0.149827426428069,72.6711142992188,NA,NA,0,0,7260,180,0,"PSRS","PSRS","strategy_comparison","PSRS",2,9002
7,21,7.63074841551034,1.63074841551034,0.11763153540335,75.6980644439915,0.139588492248948,67.7049023460935,NA,NA,0,0,8460,210,0,"PSRS","PSRS","strategy_comparison","PSRS",2,9002
8,24,7.7761250337974,1.7761250337974,0.101470458750013,65.2981132931903,0.13419511355925,65.0889404453787,NA,NA,0,0,9660,240,0,"PSRS","PSRS","strategy_comparison","PSRS",2,9002
9,27,7.95083449078758,1.95083449078758,0.0891104133192551,57.3441958990155,0.123958899298511,60.1240477400326,NA,NA,0,0,10860,270,0,"PSRS","PSRS","strategy_comparison","PSRS",2,9002
10,30,8.11834572466689,2.11834572466689,0.101163751125186,65.1007412749641,0.115967216261129,56.2478247727276,NA,NA,0,0,12060,300,0,"PSRS","PSRS","strategy_comparison","PSRS",2,9002
11,33,8.33754407538282,2.33754407538282,0.0961496324352254,61.8740633401653,0.109432526155493,53.0782901761718,NA,NA,0,0,13260,330,0,"PSRS","PSRS","strategy_comparison","PSRS",2,9002
12,36,8.60908888878689,2.60908888878689,0.0814197027415016,52.3950816760425,0.107715586322875,52.2455192089622,NA,NA,0,0,14460,360,0,"PSRS","PSRS","strategy_comparison","PSRS",2,9002
13,39,8.75460698271279,2.75460698271279,0.05554779829383,35.7460335831715,0.102661504375218,49.7941271264043,NA,NA,0,0,15660,390,0,"PSRS","PSRS","strategy_comparison","PSRS",2,9002
14,42,8.99480316201467,2.99480316201467,0.056442317534946,36.3216732271514,0.0993242762064564,48.1754642722364,NA,NA,0,0,16860,420,0,"PSRS","PSRS","strategy_comparison","PSRS",2,9002
15,45,9.12211969553035,3.12211969553035,0.0461772360140171,29.7159037808064,0.0897371407484525,43.5253956347352,NA,NA,0,0,18060,450,0,"PSRS","PSRS","strategy_comparison","PSRS",2,9002
16,48,9.2531572406015,3.2531572406015,0.0461933230299546,29.7262560725194,0.0810174081689364,39.2960452544237,NA,NA,0,0,19260,480,0,"PSRS","PSRS","strategy_comparison","PSRS",2,9002
17,51,9.40329970373083,3.40329970373083,0.0445214880063704,28.6503993737094,0.0734708015012039,35.6356986223248,NA,NA,0,0,20460,510,0,"PSRS","PSRS","strategy_comparison","PSRS",2,9002
18,54,9.5156312925686,3.5156312925686,0.0471219073660155,30.3238172339188,0.0688016641314946,33.3710170245547,NA,NA,0,0,21660,540,0,"PSRS","PSRS","strategy_comparison","PSRS",2,9002
