"scenario","strategy","axis","level","n","gain60","gain60_sd","lateSlope","genic60","genic60_sd","slopeRet","nGeno","nPheno"
"CB_bar_parentMean","CB","bridge_bar","mean of the selected elite parents",4,4.17735583791132,1.42726483496542,0.0297578737402927,9.2800557716704,2.87523963419965,24.4188870343501,33760,6060
"CB_bar_q75","CB","bridge_bar","elite top quartile",4,3.98691747747274,1.89249502887395,0.0133231635375274,6.98435102011402,4.61701386164004,8.17032833853655,33760,6060
"CB_base","CB","baseline","2 bridge lines per cycle (as specified)",22,6.42920866104332,1.9606743383042,0.0343134282225978,7.49033087920937,4.46180786788185,17.6041975171741,33760,6060
"CB_cyc2","CB","cycle_length","2 yr",4,4.64099993709862,2.23356720378872,0.0144883251354154,6.22957087728648,1.84671614882829,9.51769250524791,50760,9060
"CB_cyc4","CB","cycle_length","4 yr",4,4.34813135291071,2.40871841977733,0.037019418775072,14.148998369261,3.77460564883291,26.0486664271336,25260,4560
"CB_cyc4_vs_GSRS3","CB","resource_matched","CB 4-yr cycle vs GS-RS 3-yr cycle",10,5.1724716163731,1.93406416807133,0.0442888880823521,12.8305328627768,5.79634703147131,30.6359540414783,25260,4560
"CB_donorImp1","CB","donor_quality","donors pre-improved one cycle",4,4.48131422841301,1.84402942980429,0.0306038905022176,15.9459821230543,5.11705724845063,25.1740586530039,33760,6060
"CB_donorImp2","CB","donor_quality","donors pre-improved two cycles",4,4.83009615531798,2.41479090027806,0.033630442046341,9.44953952469227,4.19289753362244,23.5618556940021,33760,6060
"CB_donorImp3","CB","donor_quality","donors pre-improved three cycles",4,5.25100866888345,2.67324000227244,0.0392346738686661,8.76868114376571,3.62252341713228,28.0882408595729,33760,6060
"CB_equalBudget","CB","resource_matched","equal genotyping + phenotyping budget",10,4.59497527150563,1.61356370249941,0.0251609483639894,5.84466330476362,1.8657576965494,17.8564334186295,17910,4060
"CB_equalBudget_lag2","CB","resource_matched","equal budget + 2-cycle lag",10,4.66253347140144,1.49519442079398,0.0255555933293471,6.24950870149971,2.9339658304255,21.2343701795521,17910,4060
"CB_gxe0.5","CB","gxe","varGxE/varA = 0.5",4,5.55600256810071,2.09871562433998,0.0453216931359481,21.9382655962683,19.0174303805566,32.3135686917767,33760,6060
"CB_gxe1.0","CB","gxe","varGxE/varA = 1.0",4,4.92103889033838,1.89642210001031,0.0194583640897327,12.8351412556065,2.17178126930484,15.6954839888933,33760,6060
"CB_h2_0.15","CB","heritability","h2 = 0.15",4,3.34733728564645,1.15193282985902,0.0133408412245048,8.64111923344074,2.63230343050953,12.3229918443452,33760,6060
"CB_h2_0.50","CB","heritability","h2 = 0.50",4,5.43881698312516,2.6473313638265,0.047610820817339,4.57818124930636,2.2179808009413,24.8459533816422,33760,6060
"CB_lag2","CB","resource_matched","2-cycle bridge development lag",10,5.16219908948567,1.67086977377538,0.0223421731382523,6.77567491999347,2.75443096605617,17.0588377449284,33760,6060
"CB_nB1","CB","inflow_rate","1 bridge line per cycle",12,5.85272199315128,1.63429564121593,0.0298513416367261,7.67401587645409,5.30112833827645,16.3547148942828,33760,6060
"CB_nB4","CB","inflow_rate","4 bridge lines per cycle",12,6.78672590448377,1.91238973387399,0.0346365180976977,7.40161577093862,2.64456420917185,18.4398987136593,33760,6060
"CB_nB8","CB","inflow_rate","8 bridge lines per cycle",12,6.9312173197588,1.79330957858935,0.0457966314720518,8.99308643900711,3.86172521990387,23.9191458480939,33760,6060
"CB_noDistinctFam","CB","mechanism","highest-ranking eligible lines admitted",12,6.47869239667499,1.7531569294405,0.0332548932894628,6.77928204821931,2.83058943019748,17.4462992740881,33760,6060
"CB_noRecurrent","CB","mechanism","bridge pool rebuilt each cycle (not recurrent)",12,6.65861394429938,2.01401930501611,0.0313532013953434,8.5746566995807,4.43889464965495,17.0809690274438,34060,6060
"CB_noWithinFam","CB","mechanism","bridge pool selected across families",12,6.04465266325798,1.49524545926127,0.0266616528117724,4.63829287741174,2.50074358252888,13.811504259087,33760,6060
"CB_strictBar_noRecurrent","CB","mechanism","strict bar + non-recurrent bridge pool",6,5.61649548742532,1.91387753511322,0.0289758252444274,12.2065890661423,7.20289119194372,14.553921257068,34060,6060
"GSRS_base","GSRS","baseline","baseline",22,5.16469060703569,1.64705945439527,0.0182298354227938,3.38084861039908,1.64211690661218,9.87914945340809,24060,4060
"GSRS_cyc2","GSRS","cycle_length","2 yr",4,3.78952650994043,1.75902776972671,0.00452208587439544,0.441385500372596,0.445459796925217,2.35833260764934,36060,6060
"GSRS_cyc4","GSRS","cycle_length","4 yr",4,3.44617986758338,1.60457914826554,0.0119608678346148,9.63823717480802,4.56000136165516,13.5198089830841,18060,3060
"GSRS_gxe0.5","GSRS","gxe","varGxE/varA = 0.5",4,4.40612127671424,1.32463074285945,0.0171977567394256,3.68755567788748,0.889645869753608,14.0401567106077,24060,4060
"GSRS_gxe1.0","GSRS","gxe","varGxE/varA = 1.0",4,3.83195030514144,1.06991306086941,0.0246853017668831,6.39813228462044,3.07019728137429,20.6911190329023,24060,4060
"GSRS_h2_0.15","GSRS","heritability","h2 = 0.15",4,3.21000597662408,1.69953569731258,0.0073403494381935,1.60947108184906,1.05997486455251,4.26230676064086,24060,4060
"GSRS_h2_0.50","GSRS","heritability","h2 = 0.50",4,4.33930032510266,2.24929662830964,0.0146402810049521,1.72635304824584,0.981559121349921,7.13764884009215,24060,4060
